"EventID","SeineLength","SeineWidth","SeineDepth","SeineVolume","TrapStatus","TrapHours"
2063,8,15,NA,NA,NA,NA
2064,6,15,NA,NA,NA,NA
2065,15,10,NA,NA,NA,NA
310,12,15,NA,NA,NA,NA
43,7,7,NA,NA,NA,NA
44,6,9,NA,NA,NA,NA
1186,8,15,NA,NA,NA,NA
107,4,4,NA,NA,NA,NA
108,4,4,NA,NA,NA,NA
1131,8,5,NA,NA,NA,NA
45,7,3,NA,NA,NA,NA
1187,15,2,NA,NA,NA,NA
2068,15,4,NA,NA,NA,NA
311,13,2,NA,NA,NA,NA
1188,7,15,NA,NA,NA,NA
1189,7,17,NA,NA,NA,NA
2075,14,3,NA,NA,NA,NA
1132,15,7,NA,NA,NA,NA
1190,2,15,NA,NA,NA,NA
1191,NA,15,NA,NA,NA,NA
2090,10,15,NA,NA,NA,NA
2091,NA,14,NA,NA,NA,NA
2093,13,3,NA,NA,NA,NA
1133,15,10,NA,NA,NA,NA
2096,15,3,NA,NA,NA,NA
109,7,5,NA,NA,NA,NA
46,6,14,NA,NA,NA,NA
1134,15,14,NA,NA,NA,NA
47,15,9,NA,NA,NA,NA
2098,15,3,NA,NA,NA,NA
1192,15,7,NA,NA,NA,NA
1193,15,7,NA,NA,NA,NA
323,15,6,NA,NA,NA,NA
324,15,10,NA,NA,NA,NA
48,16,11,NA,NA,NA,NA
2106,15,7,NA,NA,NA,NA
2107,11,6,NA,NA,NA,NA
2108,7,15,NA,NA,NA,NA
2109,9,15,NA,NA,NA,NA
325,11,15,NA,NA,NA,NA
326,11,7,NA,NA,NA,NA
1135,15,7,NA,NA,NA,NA
1194,15,11,NA,NA,NA,NA
49,3,14,NA,NA,NA,NA
1136,15,6,NA,NA,NA,NA
1137,15,14,NA,NA,NA,NA
2110,5,15,NA,NA,NA,NA
2111,NA,NA,NA,NA,NA,NA
328,15,15,NA,NA,NA,NA
110,33,10,NA,NA,NA,NA
111,33,10,NA,NA,NA,NA
112,33,10,NA,NA,NA,NA
113,50,10,NA,NA,NA,NA
114,50,10,NA,NA,NA,NA
115,50,10,NA,NA,NA,NA
116,50,10,NA,NA,NA,NA
117,30,10,NA,NA,NA,NA
118,30,10,NA,NA,NA,NA
1138,23,6,NA,NA,NA,NA
1139,23,6,NA,NA,NA,NA
1140,23,6,NA,NA,NA,NA
1141,15,9,NA,NA,NA,NA
1142,15,9,NA,NA,NA,NA
1143,15,9,NA,NA,NA,NA
1144,5,5,NA,NA,NA,NA
119,15,4,NA,NA,NA,NA
120,10,7,NA,NA,NA,NA
121,7,9,NA,NA,NA,NA
122,25,7,NA,NA,NA,NA
123,25,8,NA,NA,NA,NA
124,6,8,NA,NA,NA,NA
125,6,8,NA,NA,NA,NA
126,6,8,NA,NA,NA,NA
127,15,11,NA,NA,NA,NA
2114,4,9,NA,NA,NA,NA
2115,15,9,NA,NA,NA,NA
50,9,15,NA,NA,NA,NA
51,15,15,NA,NA,NA,NA
52,15,9,NA,NA,NA,NA
53,15,9,NA,NA,NA,NA
54,15,9,NA,NA,NA,NA
55,12,15,NA,NA,NA,NA
1195,8,15,NA,NA,NA,NA
56,15,9,NA,NA,NA,NA
57,15,9,NA,NA,NA,NA
58,15,15,NA,NA,NA,NA
59,15,15,NA,NA,NA,NA
329,15,10,NA,NA,NA,NA
330,15,15,NA,NA,NA,NA
2118,15,9,NA,NA,NA,NA
2119,11,15,NA,NA,NA,NA
2120,15,9,NA,NA,NA,NA
2121,15,9,NA,NA,NA,NA
2122,15,9,NA,NA,NA,NA
1145,29,NA,NA,NA,NA,NA
1146,NA,NA,NA,NA,NA,NA
1196,10,15,NA,NA,NA,NA
1197,15,15,NA,NA,NA,NA
1198,15,10,NA,NA,NA,NA
1199,30,2,NA,NA,NA,NA
1200,20,15,NA,NA,NA,NA
128,15,4,NA,NA,NA,NA
60,11,10,NA,NA,NA,NA
61,15,15,NA,NA,NA,NA
331,11,15,NA,NA,NA,NA
2129,2,7,NA,NA,NA,NA
1201,8,15,NA,NA,NA,NA
129,8,4,NA,NA,NA,NA
332,10,15,NA,NA,NA,NA
62,10,7,NA,NA,NA,NA
130,7,6,NA,NA,NA,NA
63,4,5,NA,NA,NA,NA
333,15,15,NA,NA,NA,NA
1202,8,15,NA,NA,NA,NA
334,15,15,NA,NA,NA,NA
1203,6,8,NA,NA,NA,NA
131,50,9,NA,NA,NA,NA
132,50,9,NA,NA,NA,NA
133,40,9,NA,NA,NA,NA
134,50,9,NA,NA,NA,NA
135,50,9,NA,NA,NA,NA
136,20,9,NA,NA,NA,NA
1147,21,4,NA,NA,NA,NA
1148,21,4,NA,NA,NA,NA
1149,21,4,NA,NA,NA,NA
1150,15,9,NA,NA,NA,NA
1151,15,9,NA,NA,NA,NA
1152,15,9,NA,NA,NA,NA
1153,9,13,NA,NA,NA,NA
137,9,9,NA,NA,NA,NA
138,26,6,NA,NA,NA,NA
64,15,9,NA,NA,NA,NA
65,15,9,NA,NA,NA,NA
66,15,9,NA,NA,NA,NA
67,15,15,NA,NA,NA,NA
2132,10,12,NA,NA,NA,NA
2133,13,21,NA,NA,NA,NA
2134,15,9,NA,NA,NA,NA
2135,15,12,NA,NA,NA,NA
2136,15,9,NA,NA,NA,NA
2137,15,9,NA,NA,NA,NA
2138,15,15,NA,NA,NA,NA
2139,15,15,NA,NA,NA,NA
2140,9,15,NA,NA,NA,NA
2141,9,15,NA,NA,NA,NA
2142,9,15,NA,NA,NA,NA
2143,15,9,NA,NA,NA,NA
2144,15,15,NA,NA,NA,NA
2145,15,15,NA,NA,NA,NA
2147,5,8,NA,NA,NA,NA
2148,9,8,NA,NA,NA,NA
2149,9,8,NA,NA,NA,NA
2150,15,15,NA,NA,NA,NA
335,15,22,NA,NA,NA,NA
336,15,19,NA,NA,NA,NA
337,9,9,NA,NA,NA,NA
338,NA,NA,NA,NA,NA,NA
339,11,15,NA,NA,NA,NA
340,15,9,NA,NA,NA,NA
341,15,15,NA,NA,NA,NA
342,15,8,NA,NA,NA,NA
343,15,12,NA,NA,NA,NA
344,15,9,NA,NA,NA,NA
345,15,9,NA,NA,NA,NA
346,15,15,NA,NA,NA,NA
347,15,15,NA,NA,NA,NA
139,14,9,NA,NA,NA,NA
140,15,15,NA,NA,NA,NA
141,15,15,NA,NA,NA,NA
142,7,3,NA,NA,NA,NA
143,7,3,NA,NA,NA,NA
2151,15,9,NA,NA,NA,NA
2152,15,9,NA,NA,NA,NA
2153,15,9,NA,NA,NA,NA
2154,15,9,NA,NA,NA,NA
2155,15,15,NA,NA,NA,NA
1154,NA,NA,NA,NA,NA,NA
1155,38,6,NA,NA,NA,NA
1156,38,6,NA,NA,NA,NA
1157,38,6,NA,NA,NA,NA
2156,15,15,NA,NA,NA,NA
2157,NA,NA,NA,NA,NA,NA
2158,NA,NA,NA,NA,NA,NA
2159,NA,NA,NA,NA,NA,NA
2160,15,15,NA,NA,NA,NA
2161,15,9,NA,NA,NA,NA
2162,15,15,NA,NA,NA,NA
2163,15,9,NA,NA,NA,NA
2164,15,9,NA,NA,NA,NA
252,15,15,NA,NA,NA,NA
253,15,9,NA,NA,NA,NA
254,15,15,NA,NA,NA,NA
255,15,15,NA,NA,NA,NA
256,15,15,NA,NA,NA,NA
257,15,15,NA,NA,NA,NA
348,15,15,NA,NA,NA,NA
1204,8,15,NA,NA,NA,NA
1205,8,15,NA,NA,NA,NA
349,12,11,NA,NA,NA,NA
144,30,9,NA,NA,NA,NA
1206,30,9,NA,NA,NA,NA
145,11,4,NA,NA,NA,NA
146,4,8,NA,NA,NA,NA
1207,15,15,NA,NA,NA,NA
1208,15,15,NA,NA,NA,NA
2165,15,15,NA,NA,NA,NA
2166,15,15,NA,NA,NA,NA
1209,15,15,NA,NA,NA,NA
2167,15,15,NA,NA,NA,NA
1210,15,15,NA,NA,NA,NA
1158,10,15,NA,NA,NA,NA
1159,15,15,NA,NA,NA,NA
1160,38,6,NA,NA,NA,NA
2168,15,15,NA,NA,NA,NA
2169,15,15,NA,NA,NA,NA
2170,15,15,NA,NA,NA,NA
2171,15,15,NA,NA,NA,NA
2172,15,15,NA,NA,NA,NA
148,10,10,NA,NA,NA,NA
2173,15,15,0.42,94.5,NA,NA
149,15,10,0.6,90,NA,NA
2174,15,15,0.5,112.5,NA,NA
150,15,11,0.6,99.00000763,NA,NA
2175,15,15,0.9,202.5,NA,NA
151,NA,NA,0.5,NA,NA,NA
152,15,15,0.8,180,NA,NA
68,6,6,0.6,21.60000038,NA,NA
258,15,15,1,225,NA,NA
1211,8,9,0.6,43.20000076,NA,NA
259,15,15,0.8,180,NA,NA
260,10,7,0.9,63,NA,NA
1212,15,12,0.7,126,NA,NA
261,15,15,1.2,270,NA,NA
1213,15,9,1.2,162,NA,NA
262,10,7,1.2,84,NA,NA
1214,15,9,1.2,162,NA,NA
2176,NA,NA,0.9,NA,NA,NA
69,15,15,1.2,270,NA,NA
153,NA,NA,0.5,NA,NA,NA
1215,15,9.8,1.1,161.6999969,NA,NA
263,15,12,1.2,216.0000153,NA,NA
2177,NA,NA,0.9,NA,NA,NA
70,15,12,1.1,198,NA,NA
154,10,7,1,70,NA,NA
155,10,7,0.4,28,NA,NA
71,10,7,1,70,NA,NA
1216,15,12,1,180,NA,NA
264,15,15,0.95,213.75,NA,NA
1217,13,15,1,195,NA,NA
2178,15,11,1.1,181.5,NA,NA
2179,10,7,1.1,77,NA,NA
265,15,15,0.9,202.5,NA,NA
72,15,11,0.9,148.5,NA,NA
156,15,15,0.8,180,NA,NA
1218,15,13,1.1,214.5,NA,NA
266,15,13,1.1,214.5,NA,NA
157,15,15,0.5,112.5,NA,NA
73,10,7,1,70,NA,NA
158,15,15,0.3,67.5,NA,NA
74,6.7,8,0.6,32.15999985,NA,NA
267,15,15,1.1,247.5,NA,NA
1219,15,13,0.9,175.5,NA,NA
268,15,15,0.4,90,NA,NA
159,15,15,0.8,180,NA,NA
160,NA,NA,0.4,NA,NA,NA
161,20,9,0.4,72,NA,NA
162,26.5,9,0.2,47.70000076,NA,NA
163,27,9,0.04,9.719999313,NA,NA
164,27,9,0.4,97.20000458,NA,NA
165,31,9,0.4,111.5999985,NA,NA
166,30,9,0.4,108,NA,NA
2012,NA,NA,0.3,NA,NA,NA
2013,10,7,NA,NA,NA,NA
2014,12,15,0.6,108.0000076,NA,NA
2015,15,15,1.2,270,NA,NA
2016,13,15,1.1,214.5,NA,NA
2017,8.5,20,1.2,204.0000153,NA,NA
2180,15,15,0.6,135,NA,NA
2181,30,15,0.3,135,NA,NA
2182,15,15,NA,NA,NA,NA
2183,15,15,0.8,180,NA,NA
2184,15,15,1.1,247.5,NA,NA
2185,15,15,1.2,270,NA,NA
2186,15,15,1.1,247.5,NA,NA
2187,15,15,1.1,247.5,NA,NA
2188,15,15,0.4,90,NA,NA
167,15,15,1.1,247.5,NA,NA
350,15,15,0.5,112.5,NA,NA
351,15,15,0.5,112.5,NA,NA
352,15,15,0.5,112.5,NA,NA
2189,15,15,0.7,157.5,NA,NA
2190,15,11.6,1.1,191.4000092,NA,NA
