"EventID","StationCode","Datetime","SampleDate","WaterTemp","SpecificConductance","Conductivity","Turbidity","DO","pH","Secchi","Tide","WeatherCode","VegetationRank","SubstrateCode","HabitatType","MicrocystisRank","MethodCode","GearCode","GearConditionCode","SampleAltered","FieldComments","Flag_WQ","Comment_WQ"
2063,"YB",1998-01-30 13:50:00,1998-01-30,12.22,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"PAV",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2064,"YB",1998-01-30 14:45:00,1998-01-30,12.22,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"PAV",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
2065,"YB",1998-01-30 15:10:00,1998-01-30,12.22,NA,NA,NA,NA,NA,NA,NA,"CLD",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
310,"PCS",1998-02-02 11:30:00,1998-02-02,NA,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD","NV",NA,"BSEIN","SEIN50",1,NA,"","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
43,"AL1",1998-02-02 14:00:00,1998-02-02,11.11,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD",NA,NA,"BSEIN","SEIN50",2,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
44,"AL1",1998-02-02 14:10:00,1998-02-02,11.11,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD",NA,NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1186,"BL4",1998-02-02 14:38:00,1998-02-02,10.56,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"AVG","NV",NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
107,"FW1",1998-02-02 15:00:00,1998-02-02,11.11,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD","NV",NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
108,"FW1",1998-02-02 15:20:00,1998-02-02,11.11,NA,NA,NA,NA,NA,NA,NA,"RAN",NA,"MUD","NV",NA,"BSEIN","SEIN50",1,NA,"","1,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
1131,"SB1",1998-02-04 15:00:00,1998-02-04,NA,NA,NA,NA,NA,NA,NA,NA,"CLR",NA,"PAV","NV",NA,"BSEIN","SEIN50",1,NA,"","NA,NA,NA,NA,NA,NA,NA","NA,NA,NA,NA,NA,NA,NA"
