OrganismRowID,OrganismCode,Active,CommonName,Native,Phylum,Class,Order,Family,Genus,Species,NormalizedCode,Comments,s_ColLineage,s_Generation,s_Lineage
{6204CA58-80D1-11D3-AFD7-00C04FF7F6A0},ACL,FALSE,Asian Clam,,Mollusca,Bivalvia,Myodia,Sphaeriidae,Potamocorbula,amurenis,160,,,1,
{6204CA7C-80D1-11D3-AFD7-00C04FF7F6A0},AGB,FALSE,Arrow Goby,,Chordata,Osteichthyes,Perciformes,Gobiidae,Clevelandia,ios,227,,,1,
{13157E76-8C9C-11D3-AFE6-00C04FF7F6A0},AME,FALSE,American Eel,,Chordata,Osteichthyes,Anguilliformes,Anguillidae,Anguilla,rostrata,,,,1,
{95FC8A23-6E7F-4D4F-B63A-CCF459272A35},AMM,TRUE,Ammocoete Lamprey,N,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,NA,,,,1278,
{90FE9FA9-E1FB-11D2-9F94-006008038FD8},AMS,TRUE,American Shad,I,Chordata,Osteichthyes,Clupeiformes,Clupeidae,Alosa,sapidissima,126,,,1277,
{90FE9FAA-E1FB-11D2-9F94-006008038FD8},BAS,TRUE,Bass Unknown,I,Chordata,Osteichthyes,Perciformes,Centrarchidae,Micropterus,NA,192,,,1277,
{6204CA61-80D1-11D3-AFD7-00C04FF7F6A0},BG,FALSE,Bay Goby,,Chordata,Osteichthyes,Perciformes,Gobiidae,Lepidogobius,lepidus,194,,,1,
{90FE9FAC-E1FB-11D2-9F94-006008038FD8},BGS,TRUE,Bluegill,I,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,macrochirus,131,,,1277,
{90FE9FAD-E1FB-11D2-9F94-006008038FD8},BKB,TRUE,Black Bullhead,I,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,melas,129,,,1277,
{90FE9FAE-E1FB-11D2-9F94-006008038FD8},BKS,TRUE,Black Crappie,I,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,nigromaculatus,130,,,1277,
{8B0BBDAB-F44B-11D3-BCEB-006008038FF4},BKT,TRUE,Brook Trout,I,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salvelinus,fontinalis,,,,1,
{594E503A-0BD8-11D4-BCF6-006008038FF4},BL,TRUE,Pacific Brook Lamprey,N,Chordata,Cephalaspidomorphi,Petromyzontiformes,Petromyzontidae,Lampetra,pacifica,,,,1,
{13157E74-8C9C-11D3-AFE6-00C04FF7F6A0},BLC,FALSE,Blue Catfish,,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ictalurus,furcatus,,,,1,
{6204CA87-80D1-11D3-AFD7-00C04FF7F6A0},BPE,FALSE,Black Perch,,Chordata,Osteichthyes,Percifomes,Embiotocidae,Embiotoca,jacksoni,238,,,1,
{90FE9FAF-E1FB-11D2-9F94-006008038FD8},BPF,FALSE,Bay Pipefish,,Chordata,Osteichthyes,Gasterosteiformes,Syngnathidae,Syngnathus,leptorhynchus,127,,,1,
{6204CA7F-80D1-11D3-AFD7-00C04FF7F6A0},BRA,FALSE,Bat Ray,,Chordata,Elasmobranchiomorphi,Rajiformes,Mobulidae,Myliobatis,californica,230,,,1,
{90FE9FB0-E1FB-11D2-9F94-006008038FD8},BRB,TRUE,Brown Bullhead,I,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,nebulosus,132,,,1,
{6204CA57-80D1-11D3-AFD7-00C04FF7F6A0},BSH,FALSE,Bay Shrimp,,Arthropoda,Crustacea,Euphausiacea,Palaemonidae,Palaemon,macrodactylum,156,,,1,
{6204CA55-80D1-11D3-AFD7-00C04FF7F6A0},BSJ,FALSE,Black Sea Jellyfish,,Cnidaria,Hydrozoa,Limnomedusae,Olindiadidae,Maeotias,inexpectata,151,,,1,
{6204CA80-80D1-11D3-AFD7-00C04FF7F6A0},BSK,FALSE,Big Skate,,Chordata,Elasmobranchiomorphi,Rajiformes,Rajidae,Raja,binoculata,231,,,1,
{6204CA7A-80D1-11D3-AFD7-00C04FF7F6A0},BSM,FALSE,Brown Smoothhound,,Chordata,Elasmobranchiomorphi,Lamniformes,Carcharhinidae,Mustelus,henlei,225,,,1,
{6204CA62-80D1-11D3-AFD7-00C04FF7F6A0},BSP,FALSE,Barred Surfperch,,Chordata,Osteichthyes,Perciformes,Embiotocidae,Amphistichus,argenteus,195,,,1,
{6204CA63-80D1-11D3-AFD7-00C04FF7F6A0},BT,TRUE,Brown Trout,N,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Salmo,trutta,196,,,1,
{6204CA83-80D1-11D3-AFD7-00C04FF7F6A0},BUS,FALSE,Butter Sole,,Chordata,Osteichthyes,Pleuronectiformes,Pleuronectidae,Isopsetta,NA,255,,,1,
{90FE9FB2-E1FB-11D2-9F94-006008038FD8},C,TRUE,Common Carp,I,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Cyprinus,carpio,134,,,1277,
{6204CA51-80D1-11D3-AFD7-00C04FF7F6A0},CAH,FALSE,California Halibut,,Chordata,Osteichthyes,Pleuronectiformes,Bothidae,Paralichthys,californicus,133,,,1,
{90FE9FB3-E1FB-11D2-9F94-006008038FD8},CAR,TRUE,California Roach,N,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Hesperoleucus,symmetricus,185,,,1277,
{6204CA9A-80D1-11D3-AFD7-00C04FF7F6A0},CAT,TRUE,Catfish Unknown,I,Chordata,Osteichthyes,Siluriformes,Ictaluridae,NA,NA,260,,,1277,
{6204CA52-80D1-11D3-AFD7-00C04FF7F6A0},CBS,FALSE,California Bay Shrimp,,Arthropoda,Crustacea,Decapoda,Crangonidae,Crangon,franciscorum,137,,,1,
{6204CA97-80D1-11D3-AFD7-00C04FF7F6A0},CGO,FALSE,Cheekspot Goby,,Chordata,Osteichthyes,Perciformes,Gobiidae,Llypnus,gilberti,257,,,1,
{90FE9FB4-E1FB-11D2-9F94-006008038FD8},CHC,TRUE,Channel Catfish,I,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ictalurus,punctatus,135,,,1277,
{90FE9FB5-E1FB-11D2-9F94-006008038FD8},CHG,FALSE,Chameleon Goby,,Chordata,Osteichthyes,Perciformes,Gobiidae,Tridentiger,trigonocephalus,197,,,1,
{90FE9FB6-E1FB-11D2-9F94-006008038FD8},CHN,TRUE,Chinook Salmon,N,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,tshawytscha,136,,,1277,
{6204CAA8-80D1-11D3-AFD7-00C04FF7F6A0},CMC,TRUE,Chinese Mitten Crab,I,Arthropoda,Crustacea,Decapoda,Grapsidae,Eriocheir,sinensis,139,,,1277,
{13157E73-8C9C-11D3-AFE6-00C04FF7F6A0},COS,FALSE,Coho Salmon,,Chordata,Osteichthyes,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,,,,1,
{6204CA79-80D1-11D3-AFD7-00C04FF7F6A0},CSP,FALSE,Callico Serf Perch,,Chordata,Osteichthyes,Percifomes,Embiotocidae,Amphistichus,koelzi,224,,,1,
{90FE9FB7-E1FB-11D2-9F94-006008038FD8},DMT,FALSE,Diamond Turbot,,Chordata,Osteichthyes,Pleuronectiformes,Pleuronectidae,Hypsopsetta,guttulata,198,,,1,
{90FE9FB8-E1FB-11D2-9F94-006008038FD8},DSM,TRUE,Delta Smelt,N,Chordata,Osteichthyes,Salmoniformes,Osmeridae,Hypomesus,transpacificus,138,,,1277,
{6204CA7E-80D1-11D3-AFD7-00C04FF7F6A0},DSU,FALSE,Dwarf Surfperch,,Chordata,Osteichthyes,Perciformes,Embiotocidae,Micrometrus,minimus,254,,,1,
{90FE9FB9-E1FB-11D2-9F94-006008038FD8},ELS,FALSE,English Sole,,Chordata,Osteichthyes,Pleuronectiformes,Pleuronectidae,Pleuronectes,vetulus,199,,,1,
{90FE9FBA-E1FB-11D2-9F94-006008038FD8},FHM,TRUE,Fathead Minnow,I,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Pimephales,promelas,140,,,1277,
{6204CA8E-80D1-11D3-AFD7-00C04FF7F6A0},FLF,FALSE,Flatfish,,Chordata,Osteichthyes,Pleuronectiformes,NA,NA,NA,246,,,1,
{90FE9FBC-E1FB-11D2-9F94-006008038FD8},GF,TRUE,Goldfish,I,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Carassius,auratus,142,,,1277,
{6204CA64-80D1-11D3-AFD7-00C04FF7F6A0},GOB,FALSE,Goby Unknown,,Chordata,Osteichthyes,Perciformes,Gobiidae,NA,NA,200,,,1,
{90FE9FBD-E1FB-11D2-9F94-006008038FD8},GSF,TRUE,Green Sunfish,I,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,cyanellus,143,,,1277,
{6204CA8A-80D1-11D3-AFD7-00C04FF7F6A0},GSM,FALSE,Grey Smoothhound,,Chordata,Elasmobranchiomorphi,Lamniformes,Carcharhinidae,Mustelus,californica,242,,,1,
{90FE9FBE-E1FB-11D2-9F94-006008038FD8},GSN,TRUE,Golden Shiner,I,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas,141,,,1277,
{90FE9FBF-E1FB-11D2-9F94-006008038FD8},GST,TRUE,Green Sturgeon,N,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,medirostris,144,,,1277,
{90FE9FC0-E1FB-11D2-9F94-006008038FD8},HCH,TRUE,Hitch,N,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Lavinia,exilicauda,145,,,1277,
{6204CA99-80D1-11D3-AFD7-00C04FF7F6A0},HER,FALSE,Herring Unknown,,Chordata,Osteichthyes,Clupeiformes,Clupeidae,NA,NA,259,,,1,
{90FE9FC1-E1FB-11D2-9F94-006008038FD8},HH,TRUE,Hardhead,I,Chordata,Osteichthyes,Cypriniformes,Cyprinidae,Mylopharodon,conocephalus,186,,,1277,
{90FE9FC2-E1FB-11D2-9F94-006008038FD8},JSM,FALSE,Jacksmelt,,Chordata,Osteichthyes,Atheriniformes,Atherinidae,Atherinopsis,californiensis,201,,,1,
