Year,Month,OpHours,MethodCode
1999,Nov,681.5,FKTR
1999,Dec,729.84,FKTR
2000,Jan,683.75,FKTR
2000,Feb,323.67,FKTR
2000,Mar,226.75,FKTR
2000,Apr,720,FKTR
2000,May,744,FKTR
2000,Jun,704.92,FKTR
2000,Sep,106.5,FKTR
2000,Oct,742.28,FKTR
2000,Nov,720,FKTR
2000,Dec,740,FKTR
2001,Jan,744,FKTR
2001,Feb,646.14,FKTR
2001,Mar,744,FKTR
2001,Apr,720,FKTR
2001,May,744,FKTR
2001,Jun,680.5,FKTR
2001,Sep,62.8,FKTR
2001,Oct,744,FKTR
2001,Nov,720,FKTR
2001,Dec,743.88,FKTR
2002,Jan,672.88,FKTR
2002,Feb,672,FKTR
2002,Mar,744,FKTR
2002,Apr,720,FKTR
2002,May,744,FKTR
2002,Jun,562.93,FKTR
2002,Sep,14.75,FKTR
2002,Oct,741.87,FKTR
2002,Nov,720,FKTR
2002,Dec,371.5,FKTR
2003,Jan,612,FKTR
2003,Feb,600.25,FKTR
2003,Mar,744,FKTR
2003,Apr,720,FKTR
2003,May,695.87,FKTR
2003,Jun,720,FKTR
2003,Jul,9.45,FKTR
2003,Nov,657,FKTR
2003,Dec,723,FKTR
2004,Jan,611.75,FKTR
2004,Feb,422.75,FKTR
2004,Mar,494.75,FKTR
2004,Apr,720,FKTR
2004,May,744,FKTR
2004,Jun,685.7,FKTR
2004,Oct,688.25,FKTR
2004,Nov,720,FKTR
2004,Dec,709.84,FKTR
2005,Jan,682.58,FKTR
2005,Feb,672,FKTR
2005,Mar,744,FKTR
2005,Apr,720,FKTR
2005,May,744,FKTR
2005,Jun,561.75,FKTR
2005,Oct,588.2,FKTR
2005,Nov,720,FKTR
2005,Dec,443.95,FKTR
2006,Jan,207.17,FKTR
2006,Feb,672,FKTR
2006,Mar,284.67,FKTR
2006,Apr,105.34,FKTR
2006,May,564.08,FKTR
2006,Jun,35.92,FKTR
2006,Oct,202.75,FKTR
2006,Nov,720,FKTR
2006,Dec,513.5,FKTR
2007,Jan,679.05,FKTR
2007,Feb,672,FKTR
2007,Mar,744,FKTR
2007,Apr,720,FKTR
2007,May,744,FKTR
2007,Jun,276,FKTR
2007,Oct,518.92,FKTR
2007,Nov,720,FKTR
2007,Dec,743.98,FKTR
2008,Jan,646.67,FKTR
2008,Feb,696,FKTR
2008,Mar,744,FKTR
2008,Apr,720,FKTR
2008,May,744,FKTR
2008,Jun,414.42,FKTR
2008,Oct,406.35,FKTR
2008,Nov,287.18,FKTR
2008,Dec,709.85,FKTR
2009,Jan,648.25,FKTR
2009,Feb,638.65,FKTR
2009,Mar,381.27,FKTR
2009,Apr,562.62,FKTR
2009,May,648.67,FKTR
2009,Jun,720,FKTR
2009,Jul,681.84,FKTR
2009,Oct,430.92,FKTR
2009,Nov,284.98,FKTR
2009,Dec,351.38,FKTR
1998,Jan,129.5,RSTR
1998,Feb,600.2666667,RSTR
1998,Mar,452.4166667,RSTR
1998,Apr,473.6166667,RSTR
1998,May,299.55,RSTR
1998,Jun,133.0833333,RSTR
1999,Dec,682.5,RSTR
1999,Jan,744,RSTR
1999,Feb,651,RSTR
1999,Mar,739.7166667,RSTR
1999,Apr,620.2166667,RSTR
1999,May,744,RSTR
1999,Jun,720,RSTR
1999,July,178,RSTR
2000,Jan,466.75,RSTR
2000,Feb,375.2333333,RSTR
2000,Mar,374.4833333,RSTR
2000,Apr,720,RSTR
2000,May,744,RSTR
2000,Jun,706.75,RSTR
2001,Jan,708.1333333,RSTR
2001,Feb,672,RSTR
2001,Mar,580.65,RSTR
2001,Apr,720,RSTR
2001,May,744,RSTR
2001,Jun,682.75,RSTR
2002,Jan,638.1166667,RSTR
2002,Feb,672,RSTR
2002,Mar,744,RSTR
2002,Apr,720,RSTR
2002,May,744,RSTR
2002,Jun,561.2333333,RSTR
2003,Jan,435.8833333,RSTR
2003,Feb,488.0333333,RSTR
2003,Mar,673.6333333,RSTR
2003,Apr,720,RSTR
2003,May,648,RSTR
2003,Jun,707.25,RSTR
2004,Jan,562.8333333,RSTR
2004,Feb,419.9166667,RSTR
2004,Mar,561,RSTR
2004,Apr,720,RSTR
2004,May,744,RSTR
2004,Jun,708.7666667,RSTR
2005,Jan,466.95,RSTR
2005,Feb,672,RSTR
2005,Mar,696.5,RSTR
2005,Apr,720,RSTR
2005,May,576.9166667,RSTR
2005,Jun,563.5,RSTR
2006,Jan,229.6666667,RSTR
2006,Feb,386.4,RSTR
2006,Mar,193.6833333,RSTR
2006,Apr,46.15,RSTR
2006,May,371.2166667,RSTR
2006,Jun,706.6333333,RSTR
2007,Jan,709.75,RSTR
2007,Feb,672,RSTR
2007,Mar,744,RSTR
2007,Apr,720,RSTR
2007,May,744,RSTR
2007,Jun,9.833333333,RSTR
2008,Jan,541,RSTR
2008,Feb,521.1666667,RSTR
2008,Mar,685.6666667,RSTR
2008,Apr,720,RSTR
2008,May,744,RSTR
2008,Jun,130.9166667,RSTR
2009,Jan,541.1666667,RSTR
2009,Feb,637.5,RSTR
2009,Mar,380.55,RSTR
2009,Apr,422.2333333,RSTR
2009,May,367.65,RSTR
2009,Jun,219.1166667,RSTR
