SalmGenRowID,FishTagID,BestEstimate,Prob1,2ndBestEstimate,Prob2,Comments
1500,2015-001CHNF,F,0.8514,LF,0.1459,
1501,2015-001CHNS,LF,0.5112,F,0.4886,
1502,2015-001CHNW,F,1,,0,
1503,2015-002CHNF,F,1,,0,
1504,2015-002CHNS,F,0.5992,S,0.398,
1505,2015-003CHNF,F,0.9083,,0,
1506,2015-003CHNS,F,0.9987,,0,
1507,2015-004CHNF,F,0.9175,,0,
1508,2015-004CHNS,F,0.5074,LF,0.4925,
1509,2015-005CHNF,F,0.9807,,0,
1510,2015-005CHNS,F,1,,0,
1511,2015-006CHNF,F,0.9939,,0,
1512,2015-006CHNS,F,0.9546,,0,
1513,2015-007CHNF,F,0.9996,,0,
1514,2015-007CHNS,F,1,,0,
1515,2015-008CHNF,F,0.9997,,0,
1516,2015-008CHNS,LF,0.9499,,0,
1517,2015-009CHNF,F,0.9966,,0,
1518,2015-009CHNS,F,0.5036,LF,0.4964,
1519,2015-010CHNF,F,1,,0,
1520,2015-010CHNS,F,0.9991,,0,
1521,2015-011CHNF,F,0.9998,,0,
1522,2015-011CHNS,F,0.9859,,0,
1523,2015-012CHNF,F,0.9983,,0,
1524,2015-012CHNS,F,0.9936,,0,
1525,2015-013CHNF,F,1,,0,
1526,2015-013CHNS,F,0.9927,,0,
1527,2015-014CHNF,F,1,,0,
1528,2015-015CHNF,F,0.9979,,0,
1529,2015-016CHNF,F,0.9704,,0,
1530,2015-017CHNF,F,0.9999,,0,
1531,2015-018CHNF,F,0.9996,,0,
1532,2015-019CHNF,F,0.9942,,0,
1533,2015-020CHNF,F,1,,0,
1534,2015-021CHNF,F,1,,0,
1535,2015-022CHNF,LF,0.5306,F,0.4691,
1536,2015-023CHNF,F,0.9997,,0,
1537,2015-024CHNF,F,0.9996,,0,
1490,2016ACHN013,F,0.5765,LF,0.4235,
1491,2016ACHN014,F,0.9508,S,0.0487,
1492,2016ACHN023,F,0.965,LF,0.035,
1489,2016ACHN024,F,1,,0,
1493,2016ACHN025,F,0.9368,S,0.0632,
1494,2016ACHN026,F,0.9987,,0,
1495,2016ACHN027,F,0.9995,,0,
1496,2016ACHN030,F,0.6026,LF,0.3974,
1497,2016ACHN031,F,0.9998,,0,
1498,2016ACHN036,F,0.9778,S,0.0222,
1499,2016ACHN062,F,0.9952,,0,
1538,2016Ad_plus-F_001,F,0.9088,,0,
1539,2016Ad_plus-F_002,F,0.8966,LF,0.1034,
1540,2016Ad_plus-F_003,F,0.9808,,0,
1541,2016Ad_plus-F_004,F,1,,0,
1542,2016Ad_plus-F_005,F,0.9898,,0,
1543,2016Ad_plus-F_006,F,1,,0,
1544,2016Ad_plus-F_013,F,1,,0,
1545,2016Ad_plus-F_014,F,0.9549,,0,
1546,2016Ad_plus-F_015,F,0.9969,,0,
1547,2016Ad_plus-F_016,F,0.9968,,0,
1548,2016Ad_plus-F_017,F,0.999,,0,
1549,2016Ad_plus-F_018,F,0.9956,,0,
1550,2016Ad_plus-F_019,F,0.9863,,0,
1551,2016Ad_plus-F_020,F,1,,0,
1552,2016Ad_plus-F_021,F,0.9981,,0,
1553,2016Ad_plus-F_037,F,0.9733,,0,
1554,2016Ad_plus-F_038,F,0.9392,,0,
1555,2016Ad_plus-F_039,F,0.9999,,0,
1556,2016Ad_plus-F_040,F,0.9973,,0,
1557,2016Ad_plus-F_041,F,0.9998,,0,
1558,2016Ad_plus-F_042,F,0.9941,,0,
1559,2016Ad_plus-F_043,F,0.9387,,0,
1560,2016Ad_plus-F_044,F,0.9962,,0,
1561,2016Ad_plus-F_045,F,0.9972,,0,
1562,2016Ad_plus-F_046,F,0.9996,,0,
1563,2016Ad_plus-F_047,F,0.9831,,0,
1564,2016Ad_plus-F_048,F,0.9915,,0,
1565,2016Ad_plus-F_049,F,0.8198,LF,0.1802,
1566,2016Ad_plus-F_050,F,0.816,LF,0.1832,
1567,2016Ad_plus-F_051,F,0.9667,,0,
1568,2016Ad_plus-F_052,F,0.9941,,0,
1569,2016Ad_plus-F_053,F,0.9995,,0,
1570,2016Ad_plus-F_054,F,0.9527,,0,
1571,2016Ad_plus-F_055,F,0.9951,,0,
1572,2016Ad_plus-F_056,F,0.9114,,0,
1573,2016Ad_plus-F_057,F,0.996,,0,
1574,2016Ad_plus-F_058,F,0.9993,,0,
1575,2016Ad_plus-F_059,F,0.98,,0,
1576,2016Ad_plus-F_060,F,0.9992,,0,
1577,2016Ad_plus-F_061,F,0.9845,,0,
1578,2016Ad_plus-F_062,F,0.9743,,0,
1579,2016Ad_plus-F_063,F,0.8077,LF,0.1923,
1580,2016Ad_plus-F_064,F,0.9188,,0,
1581,2016Ad_plus-F_065,F,0.9964,,0,
1582,2016Ad_plus-F_066,F,0.9955,,0,
1583,2016Ad_plus-F_067,F,0.9551,,0,
1584,2016Ad_plus-F_068,F,1,,0,
1585,2016Ad_plus-F_069,F,0.9993,,0,
1586,2016Ad_plus-F_070,F,0.9504,,0,
1587,2016Ad_plus-F_071,F,1,,0,
1588,2016Ad_plus-F_072,F,1,,0,
1589,2016Ad_plus-F_073,F,0.9902,,0,
