SmeltGenRowID,FishTagID,Active,SPECIES (Assay ID),# Chroms,V-shape,COMMENTS,q (DS),q (LF),q (WK),Genotype Run
771,2021_WAG_003,TRUE,WAG,8,Y,,0,0,1,
770,2021_WAG_002,TRUE,WAG,4,Y,Seems to have a v-shape,0,0,1,
769,2021_WAG_001,TRUE,WAG,8,N,,0,0,1,
768,2020_WAG_001,TRUE,WAG,39,N,,0,0,1,
767,2019_WAG_012,TRUE,WAG,8-10,N,,,,,
766,2019_WAG_011,TRUE,WAG,6,N,,,,,
765,2019_WAG_010,TRUE,WAG,4-5,N,,,,,
764,2019_WAG_009,TRUE,WAG,6,N,,,,,
763,2019_WAG_008,TRUE,WAG,5-8,N,,,,,
761,2019_WAG_007,TRUE,WAG,1,N,,0.001,0.001,0.998,
760,2019_WAG_006,TRUE,WAG,8,N,,0.001,0.001,0.998,
759,2019_WAG_005,TRUE,WAG,10,N,,0.001,0.001,0.998,
758,2019_WAG_004,TRUE,WAG,7,N,,0.001,0.001,0.998,
757,2019_WAG_003,TRUE,WAG,9,Y,,0.001,0.001,0.998,
756,2019_WAG_002,TRUE,WAG,12,Y,,0.001,0.001,0.998,
755,2019_WAG_001,TRUE,WAG,9,N,,0.001,0.001,0.998,
762,2018_WAG_001,TRUE,WAG,,,,0.002,0.002,0.996,
753,2017_WAG_089,TRUE,WAG,5+,N,,0,0,1,
752,2017_WAG_088,TRUE,WAG,3,N,,0,0,1,
751,2017_WAG_087,TRUE,WAG,5+,N,,0,0,1,
750,2017_WAG_086,TRUE,WAG,5+,N,,0,0,1,
749,2017_WAG_085,TRUE,WAG,5,N,,0,0,1,
748,2017_WAG_084,TRUE,WAG,5+,N,,0,0,1,
747,2017_WAG_083,TRUE,WAG,5+,N,,0,0,1,
746,2017_WAG_082,TRUE,WAG,4,N,,0,0,1,
745,2017_WAG_081,TRUE,WAG,5+,N,,0,0,1,
744,2017_WAG_080,TRUE,WAG,5+,N,,0,0,1,
743,2017_WAG_079,TRUE,WAG,5+,N,,0,0,1,
742,2017_WAG_078,TRUE,WAG,5+,N,,0,0,1,
741,2017_WAG_077,TRUE,WAG,5,N,,0,0,1,
740,2017_WAG_076,TRUE,WAG,4,N,,0,0,1,
739,2017_WAG_075,TRUE,WAG,5+,N,,0,0,1,
738,2017_WAG_074,TRUE,WAG,5+,N,,0,0,1,
737,2017_WAG_073,TRUE,WAG,5+,N,,0,0,1,
736,2017_WAG_072,TRUE,WAG,3,N,,0,0,1,
735,2017_WAG_071,TRUE,WAG,4,N,,0,0,1,
734,2017_WAG_070,TRUE,WAG,5+,N,,0,0,1,
733,2017_WAG_069,TRUE,WAG,3,N,,0,0,1,
732,2017_WAG_068,TRUE,WAG,4,N,,0,0,1,
731,2017_WAG_067,TRUE,WAG,3,?,,0,0,1,
730,2017_WAG_066,TRUE,WAG,4,N,,0,0,1,
729,2017_WAG_065,TRUE,WAG,5+,N,,0,0,1,
728,2017_WAG_064,TRUE,WAG,3,N,,0,0,1,
727,2017_WAG_063,TRUE,WAG,5+,N,,0,0,1,
726,2017_WAG_062,TRUE,WAG,5+,N,,0,0,1,
725,2017_WAG_061,TRUE,WAG,4,N,,0,0,1,
