SampleID,TrapRowID,SampleRowID,TrapStatus,Rev Counter,Comments,s_ColLineage,s_Generation,s_Lineage,Tide,FlowDirection
1,{EACF004A-DBF8-4E18-AA37-E4E5CCD8A34A},{34F33951-FE24-408A-92D5-593E96196CE2},Set,,,,0,,,
2,{EA78B832-A8D4-47B2-AB63-85BC20785ED0},{2F95CDF6-A6C7-411C-9868-33D208FEEC5C},Check,,,,0,,,
3,{1D6C3041-BAA0-41BD-ADA8-EFB8FC1366D1},{C55D8927-AED3-4411-AFB8-5B8D25D60E91},Check,,,,0,,,
4,{D329BE7F-D9C9-4E6B-906F-82A69506314C},{2D7EA4F5-097D-4744-B9D3-9A291C041391},Pull,,,,0,,,
5,{98E61421-6735-43E0-9420-2CFCCA528201},{8AC20ECD-4E7A-4558-8336-EC8447726401},Set,,,,0,,,
6,{9F65E447-7239-464A-8B7B-7196465DA735},{AE7D20DC-3495-481C-80EB-D690FE4262D0},Check,,,,0,,,
7,{7F585E7E-CF19-4307-B735-679B4C68085D},{D4FF14E1-F21D-4882-ACD0-F99138B6FF6F},Check,,,,0,,,
8,{AE638082-75E1-443F-82B5-2F7A11421D37},{A88E9E79-EF10-4A9A-9FF2-369938EF00E2},Check,,,,0,,,
9,{5FA15F36-8EB8-4196-AE92-CA0364DB31D6},{755CCBAA-CB6B-4F87-A69C-76CED961338C},Check,,STB FL615: TAG #278224,,0,,,
12,{BE763732-CB5B-46A3-BA26-3BFC47E89373},{E49CE199-1F21-4FDD-AC69-EE312B606CEB},Check,,,,0,,,
13,{6A5496E0-BC26-400F-87E0-EB90EE0E3E48},{9071DDB7-FFA7-45A6-AA91-52DEA1D2DD6D},Check,,,,0,,,
14,{263A6866-92C5-4C1D-8C41-CC09EDB26230},{D3387CE8-C42A-4B37-8AD3-8CB6DE995942},Check,,,,0,,,
15,{62CB6366-DCE2-434B-80BE-063375C4B44E},{B0D22DA0-E489-47C2-B339-B2E9A0F81B3A},Pull,,,,0,,,
16,{E5642183-1CF0-4AF6-B995-F05F7358DA64},{426B0863-C6BC-4B26-B908-C6B9D7EAAB87},Set,,,,0,,,
17,{75EF8717-73C2-4B69-805D-1337C07E54BA},{F0199777-2019-4EC9-8BAB-FB90B72EF952},Check,,,,0,,,
20,{0F8893F1-9273-4C2E-B538-2AC5FA6610C6},{25875CFB-814E-4D2C-90C8-42DADA946065},Check,,,,0,,,
21,{76EE3AC8-CFDD-4091-A754-2A55C921D602},{E641D67F-926A-4401-9C0B-D3BF2DEA83D5},Check,,,,0,,,
22,{398797A8-B782-4E14-ABBD-2EF3B3F770C3},{952D031B-8F21-4A03-8400-B5FE0F1BDB35},Pull,,,,0,,,
23,{B7C14A64-0FED-42A3-B7B0-24617800E987},{E7593332-1209-45AE-93BF-D6FAE6B9B95D},Set,,,,0,,,
24,{0BCB82CB-B111-401D-A41F-A3DD7C265DCE},{C8740003-1F88-4897-B86D-EC26B97CBFE1},Check,,,,0,,,
25,{F20D8B31-F406-46BF-BF05-6CA4F05EB9DD},{84B35089-8414-4B9B-852F-558F69CBE899},Check,,,,0,,,
26,{A1F205EF-8DD3-4E7A-B0A8-9123F797B9BA},{C17F1827-17C8-4532-9368-B25DEA8AF415},Pull,,,,0,,,
27,{7A9E254C-F75D-4B2F-9B21-85128BAB14FF},{6C6007F8-A632-4A2B-BB80-C14DF7B2E458},Set,,,,0,,,
28,{ECB6E9C7-F10A-4D6D-8C79-B2214EA072E4},{C34AB2EA-93E6-434F-B518-1A14F4461E7D},Check,,,,0,,,
29,{0937B6AF-F1FD-4653-9DF1-04503BD3D373},{1FD20F71-E98F-46EB-B301-897C46149778},Check,,,,0,,,
30,{F1BF2B52-6B76-4B66-8642-1C1AF15E1FD3},{5F33220B-F698-466A-A71B-D113BEDBE080},Set,,,,0,,,
34,{D56829BB-BAB3-4F2F-8183-2822809D102C},{ECFBAFF0-920A-4BC6-8EBD-E9BBD674A00F},Check,,,,0,,,
35,{11E814D3-3891-4AF1-915F-ED1CB0F3436F},{8681F7CC-07F8-4D22-BAC0-58C0561F3242},Check,,,,0,,,
36,{CE1A1883-7AFC-418F-95D6-E65D3899AC6D},{C097AF5D-0640-42D2-B952-5AC952C72350},Pull,,,,0,,,
37,{F36769CC-60DA-44BD-A988-4BE4D215CC5D},{E8FA2164-AA3D-4C14-881D-31CDB406CEA3},Set,,,,0,,,
41,{FB5F147B-183E-4BA5-9354-CF497E6DC7FA},{DFEFEC2C-DA23-45D8-B63A-6D6D298B70C5},Check,,,,0,,,
42,{8D84F972-3064-46B9-BE10-8F515AF12C56},{EE5D59FB-1273-41DB-BABB-45AB97768060},Pull,,,,0,,,
353,{0641D153-3CA8-11D4-B676-00104B2A7B96},{0641D152-3CA8-11D4-B676-00104B2A7B96},Set,,,,1,,,
354,{0641D157-3CA8-11D4-B676-00104B2A7B96},{594E3902-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
355,{0641D158-3CA8-11D4-B676-00104B2A7B96},{594E3903-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
356,{0641D159-3CA8-11D4-B676-00104B2A7B96},{594E3904-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
357,{0641D15B-3CA8-11D4-B676-00104B2A7B96},{594E3905-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
358,{0641D15C-3CA8-11D4-B676-00104B2A7B96},{594E3906-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
359,{594E3B36-0BD8-11D4-BCF6-006008038FF4},{594E3907-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
360,{594E3B37-0BD8-11D4-BCF6-006008038FF4},{594E3908-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
361,{594E3B38-0BD8-11D4-BCF6-006008038FF4},{594E3909-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
362,{594E3A4F-0BD8-11D4-BCF6-006008038FF4},{594E3776-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
363,{594E3A4E-0BD8-11D4-BCF6-006008038FF4},{594E3775-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
364,{594E3A50-0BD8-11D4-BCF6-006008038FF4},{594E3777-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
365,{594E3A51-0BD8-11D4-BCF6-006008038FF4},{594E377B-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
366,{594E3A52-0BD8-11D4-BCF6-006008038FF4},{594E377C-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
367,{594E3A53-0BD8-11D4-BCF6-006008038FF4},{594E377D-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
368,{594E3A54-0BD8-11D4-BCF6-006008038FF4},{594E377E-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
369,{594E3A55-0BD8-11D4-BCF6-006008038FF4},{594E377F-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
370,{594E3A56-0BD8-11D4-BCF6-006008038FF4},{594E3780-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
371,{594E3A57-0BD8-11D4-BCF6-006008038FF4},{594E3781-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
372,{594E3A58-0BD8-11D4-BCF6-006008038FF4},{594E3782-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
373,{594E3A59-0BD8-11D4-BCF6-006008038FF4},{594E3783-0BD8-11D4-BCF6-006008038FF4},Check,,STB (592mm) tagged-229836 (code),,1,,,
374,{594E3A5A-0BD8-11D4-BCF6-006008038FF4},{594E3784-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
375,{594E3A5B-0BD8-11D4-BCF6-006008038FF4},{594E3785-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
376,{594E3A5C-0BD8-11D4-BCF6-006008038FF4},{594E3786-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
377,{594E3A5D-0BD8-11D4-BCF6-006008038FF4},{594E378A-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
378,{594E3A5E-0BD8-11D4-BCF6-006008038FF4},{594E378B-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
379,{594E3A5F-0BD8-11D4-BCF6-006008038FF4},{594E378C-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
380,{594E3A60-0BD8-11D4-BCF6-006008038FF4},{594E378D-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
381,{594E3A62-0BD8-11D4-BCF6-006008038FF4},{594E378F-0BD8-11D4-BCF6-006008038FF4},Check,,,,1,,,
