"StationCode","MethodCode","SampleDate","Datetime","SampleID","TrapStatus","Tide","effort.hrs","Comments"
"PCS","FKTR",2010-01-04,2010-01-04 11:21:00,3018,"Set","",0,""
"PCS","FKTR",2010-01-05,2010-01-05 11:33:00,3103,"Check","",24.2,""
"PCS","FKTR",2010-01-06,2010-01-06 13:15:00,3147,"Check","",25.7,""
"PCS","FKTR",2010-01-07,2010-01-07 13:48:00,3169,"Pull","",24.55,""
"PCS","FKTR",2010-01-11,2010-01-11 10:22:00,3257,"Set","",0,"NO YSI DATA."
"PCS","FKTR",2010-01-12,2010-01-12 11:03:00,3301,"Check","",24.6833333333333,""
"PCS","FKTR",2010-01-13,2010-01-13 12:18:00,3323,"Check","",25.25,""
"PCS","FKTR",2010-01-14,2010-01-14 13:00:00,3600,"Pull","",24.7,""
"PCS","FKTR",2010-01-19,2010-01-19 10:35:00,3601,"Set","",0,""
"PCS","FKTR",2010-01-20,2010-01-20 09:48:00,3415,"Check","",23.2166666666667,"MAY BE MORE FISH IN TRAP, WATER LEVEL TOO HIGH."
"PCS","FKTR",2010-01-21,2010-01-21 15:03:00,3438,"Pull","",29.25,"TRAP MOVED DOWNSTREAM 5' IN FLOW"
"PCS","FKTR",2010-01-27,2010-01-27 12:14:00,3527,"Set","",0,""
"PCS","FKTR",2010-01-27,2010-01-27 15:45:00,3536,"Pull","",3.51666666666667,""
"PCS","FKTR",2010-01-28,2010-01-28 10:22:00,3537,"Set","",0,""
"PCS","FKTR",2010-01-28,2010-01-28 15:30:00,3538,"Pull","",5.13333333333333,""
"PCS","FKTR",2010-01-29,2010-01-29 12:08:00,3539,"Set","",0,""
"PCS","FKTR",2010-01-29,2010-01-29 15:44:00,3540,"Pull","",3.6,""
"PCS","FKTR",2010-02-01,2010-02-01 10:23:00,3541,"Set","",0,""
"PCS","FKTR",2010-02-01,2010-02-01 14:39:00,3542,"Pull","",4.26666666666667,""
"PCS","FKTR",2010-02-02,2010-02-02 11:23:00,3543,"Set","",0,""
"PCS","FKTR",2010-02-02,2010-02-02 15:38:00,3544,"Check","",4.25,""
"PCS","FKTR",2010-02-03,2010-02-03 14:45:00,3545,"Check","",23.1166666666667,""
"PCS","FKTR",2010-02-04,2010-02-04 14:23:00,3602,"Pull","",23.6333333333333,""
"PCS","FKTR",2010-02-08,2010-02-08 10:35:00,1025,"Set","",0,""
"PCS","FKTR",2010-02-09,2010-02-09 12:04:00,1026,"Check","",25.4833333333333,""
"PCS","FKTR",2010-02-10,2010-02-10 09:56:00,1027,"Check","",21.8666666666667,""
"PCS","FKTR",2010-02-11,2010-02-11 16:00:00,3603,"Pull","",30.0666666666667,""
"PCS","FKTR",2010-02-17,2010-02-17 12:42:00,3605,"Check","",25.35,""
"PCS","FKTR",2010-02-18,2010-02-18 13:30:00,3606,"Pull","",24.8,""
"PCS","FKTR",2010-02-23,2010-02-23 11:12:00,3607,"Set","",0,""
"PCS","FKTR",2010-02-24,2010-02-24 11:29:00,3608,"Check","",24.2833333333333,""
