"OrganismCode","IEPFishCode","CommonName","Native","Phylum","Class","Order","Family","Genus","Species","Taxa"
"AMM","AMMLAM","Ammocoete Lamprey","N","Chordata","Cephalaspidomorphi","Petromyzontiformes","Petromyzontidae","Lampetra","spp.","Lampetra spp."
"AMS","AMESHA","American Shad","I","Chordata","Osteichthyes","Clupeiformes","Clupeidae","Alosa","sapidissima","Alosa sapidissima"
"BAS","UNIMIC","Bass Unknown","I","Chordata","Osteichthyes","Perciformes","Centrarchidae","Micropterus","spp.","Micropterus spp."
"BGS","BLUEGI","Bluegill","I","Chordata","Osteichthyes","Perciformes","Centrarchidae","Lepomis","macrochirus","Lepomis macrochirus"
"BKB","BLABUL","Black Bullhead","I","Chordata","Osteichthyes","Siluriformes","Ictaluridae","Ameiurus","melas","Ameiurus melas"
"BKS","BLACRA","Black Crappie","I","Chordata","Osteichthyes","Perciformes","Centrarchidae","Pomoxis","nigromaculatus","Pomoxis nigromaculatus"
"BRB","BROBUL","Brown Bullhead","I","Chordata","Osteichthyes","Siluriformes","Ictaluridae","Ameiurus","nebulosus","Ameiurus nebulosus"
"C","COMCAR","Common Carp","I","Chordata","Osteichthyes","Cypriniformes","Cyprinidae","Cyprinus","carpio","Cyprinus carpio"
"CAT","UNISIL","Catfish Unknown","I","Chordata","Osteichthyes","Siluriformes","Ictaluridae",NA,"spp.","Ictaluridae spp."
"CHC","CHACAT","Channel Catfish","I","Chordata","Osteichthyes","Siluriformes","Ictaluridae","Ictalurus","punctatus","Ictalurus punctatus"
"CHN","CHISAL","Chinook Salmon","N","Chordata","Osteichthyes","Salmoniformes","Salmonidae","Oncorhynchus","tshawytscha","Oncorhynchus tshawytscha"
"CMC","CHMICR","Chinese Mitten Crab","I","Arthropoda","Crustacea","Decapoda","Grapsidae","Eriocheir","sinensis","Eriocheir sinensis"
"DSM","DELSME","Delta Smelt","N","Chordata","Osteichthyes","Salmoniformes","Osmeridae","Hypomesus","transpacificus","Hypomesus transpacificus"
