attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
OrganismID	Individual Organism Key	character				
FishGenID	Fish Genetic Key	character			NA	Not relevant or not taken
EventID	Event Key	character				
OrganismCode	Organism Code	character				
ForkLength	Fork Length	numeric	millimeter			
TotalLength	Total Length	numeric	millimeter		NA	Not measured or recorded
Weight	Weight	numeric	gram		NA	Not measured or recorded
Sex	Sex	categorical			NA	Not measured or recorded
RaceByLength	Salmon Race based on length	categorical			NA	Not measured or recorded
StageCode	Life stage	categorical			NA	Not measured or recorded
Dead	Fish dead or not dead	categorical			NA	Not measured or recorded
Expression	Fish level of sexual expression	categorical			NA	Not measured or recorded
GeneticSample	Genetic sample taken	categorical			NA	Not measured or recorded
FishIDComments	Fish ID comments	character				No comments
