attributeName	code	definition
Dead	No	
Dead	yes	
Dead	Yes	
Expression	EGGS	
Expression	MILT	
Expression	NA	
FishGenID	13187	
FishGenID	2010-001S	
FishGenID	2010-002S	
FishGenID	2010-003S	
FishGenID	2010-004S	
FishGenID	2010-006S	
FishGenID	2010-008S	
FishGenID	2011-002W	
FishGenID	2011-003W	
FishGenID	2011-004S	
FishGenID	2011-005S	
FishGenID	2011-006S	
FishGenID	2011-007S	
FishGenID	2011-008S	
FishGenID	2011-009S	
FishGenID	2011-010S	
FishGenID	2011-011S	
FishGenID	2011-012S	
FishGenID	2011-013S	
FishGenID	2011-014S	
FishGenID	2012-001S	
FishGenID	2012-002L	
FishGenID	2012-002W	
FishGenID	2012-003L	
FishGenID	2012-007S	
FishGenID	2012-009S	
FishGenID	2012-010S	
FishGenID	2012-011S	
FishGenID	2012-012S	
FishGenID	2012-013S	
FishGenID	2012-014S	
FishGenID	2012-015S	
FishGenID	2012-016S	
FishGenID	2012-017S	
FishGenID	2012-019S	
FishGenID	2012-020S	
FishGenID	2012-021S	
FishGenID	2012-022S	
FishGenID	2012-023S	
FishGenID	2012-024S	
FishGenID	2012-025S	
FishGenID	2012-027S	
FishGenID	2012-028S	
FishGenID	2012-031S	
FishGenID	2012-032S	
FishGenID	2012-033S	
FishGenID	2012-034S	
FishGenID	2012-035S	
FishGenID	2012-040S	
FishGenID	2012-042S	
FishGenID	2012-043S	
FishGenID	2012-044S	
FishGenID	2012-049S	
FishGenID	2012-050S	
FishGenID	2012-053S	
FishGenID	2012-054S	
FishGenID	2012-055S	
FishGenID	2012-058S	
FishGenID	2013-001L	
FishGenID	2013-002L	
FishGenID	2013-002S	
FishGenID	2013-003W	
FishGenID	2013-004W	
FishGenID	2013-005W	
FishGenID	2013-009W	
FishGenID	2013-010S	
FishGenID	2013-010W	
FishGenID	2013-011S	
FishGenID	2013-012S	
FishGenID	2013-016S	
FishGenID	2013-017S	
FishGenID	2013-026S	
FishGenID	2013-027S	
FishGenID	2013-028S	
FishGenID	2013-029S	
FishGenID	2013-030S	
FishGenID	2013-032S	
FishGenID	2013-034S	
FishGenID	2013-035S	
FishGenID	2013-036S	
FishGenID	2013-037S	
FishGenID	2013-038S	
FishGenID	2013-039S	
FishGenID	2013-040S	
FishGenID	2013-041S	
FishGenID	2013-042S	
FishGenID	2013-049S	
FishGenID	2013-050S	
FishGenID	2013-051S	
FishGenID	2013-059S	
FishGenID	2013-060S	
FishGenID	2013-061S	
FishGenID	2013-062S	
FishGenID	2013-063S	
FishGenID	2013-065S	
FishGenID	2013-066S	
FishGenID	2013-070S	
FishGenID	2013-071S	
FishGenID	2013-072S	
FishGenID	2013-073S	
FishGenID	2013-074S	
FishGenID	2013-075S	
FishGenID	2013-076S	
FishGenID	2013-077S	
FishGenID	2013-078S	
FishGenID	2013-079S	
FishGenID	2013-080S	
FishGenID	2013-081S	
FishGenID	2013-082S	
FishGenID	2013-083S	
FishGenID	2013-084S	
FishGenID	2013-088S	
FishGenID	2014-001L	
FishGenID	2014-003S	
FishGenID	2014-004S	
FishGenID	2014-005S	
FishGenID	2014-006S	
FishGenID	2014-012S	
FishGenID	2014-013S	
FishGenID	2014-014S	
FishGenID	2014-015S	
FishGenID	2014-016S	
FishGenID	2014-019S	
FishGenID	2014-020S	
FishGenID	2014-021S	
FishGenID	2014-022S	
FishGenID	2014-023S	
FishGenID	2014-024S	
FishGenID	2014-025S	
FishGenID	2014-026S	
FishGenID	2014-028S	
FishGenID	2014-029S	
FishGenID	2014-030S	
FishGenID	2014-031S	
FishGenID	2014-032S	
FishGenID	2014-033S	
FishGenID	2014-034S	
FishGenID	2014-035S	
FishGenID	2014-036S	
FishGenID	2014-037S	
FishGenID	2014-038S	
FishGenID	2014-039S	
FishGenID	2014-040S	
FishGenID	2014-041S	
FishGenID	2014-042S	
FishGenID	2015-001CHNF	
FishGenID	2015-001CHNS	
FishGenID	2015-001CHNW	
FishGenID	2015-001S	
FishGenID	2015-002CHNF	
FishGenID	2015-002CHNS	
FishGenID	2015-002S	
FishGenID	2015-003CHNF	
FishGenID	2015-003CHNS	
FishGenID	2015-003S	
FishGenID	2015-003W	
FishGenID	2015-004CHNF	
FishGenID	2015-004CHNS	
FishGenID	2015-005CHNS	
FishGenID	2015-005S	
FishGenID	2015-005W	
FishGenID	2015-006CHNF	
FishGenID	2015-006CHNS	
FishGenID	2015-006S	
FishGenID	2015-006W	
FishGenID	2015-007CHNF	
FishGenID	2015-007CHNS	
FishGenID	2015-008CHNF	
FishGenID	2015-008CHNS	
FishGenID	2015-008S	
FishGenID	2015-008W	
FishGenID	2015-009CHNF	
FishGenID	2015-009CHNS	
FishGenID	2015-009S	
FishGenID	2015-009W	
FishGenID	2015-010CHNF	
FishGenID	2015-010CHNS	
FishGenID	2015-010S	
FishGenID	2015-010W	
FishGenID	2015-011CHNF	
FishGenID	2015-011CHNS	
FishGenID	2015-011S	
FishGenID	2015-011W	
FishGenID	2015-012CHNF	
FishGenID	2015-012CHNS	
FishGenID	2015-012S	
FishGenID	2015-012W	
FishGenID	2015-013CHNF	
FishGenID	2015-013CHNS	
FishGenID	2015-013S	
FishGenID	2015-014CHNF	
FishGenID	2015-014S	
FishGenID	2015-015CHNF	
FishGenID	2015-015W	
FishGenID	2015-016CHNF	
FishGenID	2015-016S	
FishGenID	2015-016W	
FishGenID	2015-017CHNF	
FishGenID	2015-018CHNF	
FishGenID	2015-018W	
FishGenID	2015-019CHNF	
FishGenID	2015-019S	
FishGenID	2015-020CHNF	
FishGenID	2015-020S	
FishGenID	2015-021CHNF	
FishGenID	2015-021S	
FishGenID	2015-022CHNF	
FishGenID	2015-022S	
FishGenID	2015-023CHNF	
FishGenID	2015-023S	
FishGenID	2015-024CHNF	
FishGenID	2015-024S	
FishGenID	2015-025S	
FishGenID	2015-026S	
FishGenID	2015-027S	
FishGenID	2015-028S	
FishGenID	2015-036S	
FishGenID	2015-037S	
FishGenID	2015-038S	
FishGenID	2015-039S	
FishGenID	2015-040S	
FishGenID	2015-041S	
FishGenID	2015-042S	
FishGenID	2015-043S	
FishGenID	2015-044S	
FishGenID	2015-050S	
FishGenID	2015-051S	
FishGenID	2015-052S	
FishGenID	2016_DSM_005	
FishGenID	2016_DSM_006	
FishGenID	2016_DSM_012	
FishGenID	2016_DSM_013	
FishGenID	2016_DSM_014	
FishGenID	2016_DSM_015	
FishGenID	2016_DSM_016	
FishGenID	2016_DSM_017	
FishGenID	2016_DSM_018	
FishGenID	2016_DSM_019	
FishGenID	2016_DSM_020	
FishGenID	2016_DSM_021	
FishGenID	2016_DSM_022	
FishGenID	2016_DSM_023	
FishGenID	2016_DSM_024	
FishGenID	2016_DSM_025	
FishGenID	2016_DSM_026	
FishGenID	2016_DSM_027	
FishGenID	2016_DSM_028	
FishGenID	2016_DSM_029	
FishGenID	2016_DSM_030	
FishGenID	2016_WAG_002	
FishGenID	2016_WAG_003	
FishGenID	2016_WAG_004	
FishGenID	2016_WAG_005	
FishGenID	2016_WAG_007	
FishGenID	2016_WAG_008	
FishGenID	2016_WAG_009	
FishGenID	2016_WAG_010	
FishGenID	2016_WAG_011	
FishGenID	2016_WAG_012	
FishGenID	2016_WAG_013	
FishGenID	2016_WAG_014	
FishGenID	2016_WAG_015	
FishGenID	2016_WAG_016	
FishGenID	2016_WAG_017	
FishGenID	2016_WAG_018	
FishGenID	2016_WAG_019	
FishGenID	2016_WAG_020	
FishGenID	2016_WAG_022	
FishGenID	2016_WAG_023	
FishGenID	2016_WAG_025	
FishGenID	2016_WAG_026	
FishGenID	2016_WAG_028	
FishGenID	2016_WAG_029	
FishGenID	2016_WAG_030	
FishGenID	2016_WAG_031	
FishGenID	2016_WAG_032	
FishGenID	2016_WAG_033	
FishGenID	2016_WAG_034	
FishGenID	2016ACHN013	
FishGenID	2016ACHN014	
FishGenID	2016ACHN023	
FishGenID	2016ACHN024	
FishGenID	2016ACHN025	
FishGenID	2016ACHN026	
FishGenID	2016ACHN027	
FishGenID	2016ACHN030	
FishGenID	2016ACHN031	
FishGenID	2016ACHN036	
FishGenID	2016ACHN062	
FishGenID	2016Ad_minus-F_001	
