attributeName	code	definition
OrganismCode	AMM	
OrganismCode	AMS	
OrganismCode	BAS	
OrganismCode	BGS	
OrganismCode	BKB	
OrganismCode	BKS	
OrganismCode	BRB	
OrganismCode	C	
OrganismCode	CAT	
OrganismCode	CHC	
OrganismCode	CHN	
OrganismCode	CMC	
OrganismCode	DSM	
OrganismCode	FHM	
OrganismCode	GF	
OrganismCode	GSF	
OrganismCode	GSN	
OrganismCode	HCH	
OrganismCode	HH	
OrganismCode	KLF	
OrganismCode	LAM	
OrganismCode	LFS	
OrganismCode	LMB	
OrganismCode	LP	
OrganismCode	MQF	
OrganismCode	MSS	
OrganismCode	PKN	
OrganismCode	PL	
OrganismCode	PRS	
OrganismCode	PSS	
OrganismCode	RBT	
OrganismCode	RES	
OrganismCode	RFK	
OrganismCode	RL	
OrganismCode	RSN	
OrganismCode	SAPM	
OrganismCode	SASU	
OrganismCode	SCB	
OrganismCode	SCP	
OrganismCode	SHM	
OrganismCode	SHR	
OrganismCode	SHRK	
OrganismCode	SMB	
OrganismCode	SME	
OrganismCode	SNF	
OrganismCode	SPB	
OrganismCode	SPLT	
OrganismCode	STB	
OrganismCode	STF	
OrganismCode	TFS	
OrganismCode	TP	
OrganismCode	TSS	
OrganismCode	UNID	
OrganismCode	W	
OrganismCode	WAG	
OrganismCode	WHC	
OrganismCode	WHS	
OrganismCode	WST	
OrganismCode	YEB	
OrganismCode	YFG	
