geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
Above Lisbon Weir 1	38.5445	38.5445	-121.586639	-121.586639
Above Lisbon Weir 2	38.52806	38.52806	-121.586639	-121.586639
Above Lisbon Weir 3	38.5185	38.5185	-121.588623	-121.588623
Above Lisbon Weir 4	38.49439	38.49439	-121.588583	-121.588583
Alternate Fyke	38.436971	38.436971	-121.604878	-121.604878
Below Lisbon Weir 1	38.46681	38.46681	-121.590851	-121.590851
Below Lisbon Weir 2	38.43189	38.43189	-121.607053	-121.607053
Below Lisbon Weir 3	38.38939	38.38939	-121.626278	-121.626278
Below Lisbon Weir 4	38.35496	38.35496	-121.6422	-121.6422
Below Lisbon Weir 6	38.282465	38.282465	-121.663182	-121.663182
Cache Creek Sinks 1	38.35561	38.35561	-121.35257	-121.35257
Cache Creek Sinks 2	38.3647	38.3647	-121.35596	-121.35596
Cache Creek Sinks 3	38.37192	38.37192	-121.36291	-121.36291
Cache Creek Sinks 4	38.38258	38.38258	-121.37131	-121.37131
Fremont Weir 1	38.74979	38.74979	-121.635232	-121.635232
Lisbon Weir - High Flow Site North	38.47417	38.47417	-121.588083	-121.588083
Lisbon Weir - High Flow Site South	38.47355	38.47355	-121.588364	-121.588364
Prospect Slough	38.27428	38.27428	-121.664178	-121.664178
Putah Creek Sinks	38.466958	38.466958	-121.590934	-121.590934
Sacramento Bypass 1	38.605219	38.605219	-121.564176	-121.564176
Sacramento Bypass 2	38.604167	38.604167	-121.56625	-121.56625
Screw Trap in Toe Drain	38.353383	38.353383	-121.643181	-121.643181
Toe Drain at Lisbon Weir	38.474816	38.474816	-121.588584	-121.588584
Toe Drain at Road 22	38.676367	38.676367	-121.643972	-121.643972
Yolo Basin	38.56538	38.56538	-121.630989	-121.630989
Yolo Bypass West Side near I80	38.56531	38.56531	-121.638005	-121.638005
